Titolo,Autore,Anno,Sesso
Granny's Wondeful Chair,"Browne, Frances",1857,F
The Rambles of a Rat,"Tucker, Charlotte Maria",1857,F
Mrs. Overtheways Remembrances,"Ewing, Juliana Horatia",1869,F
A Dog of Flanders,"de la Ramée, Marie Louise",1872,F
The Cuckoo Clock,"Molesworth, Mary Louisa",1877,F
Black Beauty,"Sewell, Anna",1877,F
Little Lord Fauntleroy,"Hodgson Burnett, Frances",1886,F
The Story of the Treasure Seekers,"Nesbit, Edith",1899,F
Tom Brown's School Days,"Hughes, Thomas",1857,M
Alice's Adventures in Wonderland,"Carrol, Lewis",1865,M
David Copperfield,"Dickens, Charles",1869,M
At the Back of the North Wind,"MacDonald, George",1971,M
Treasure Island,"Stevenson, Robert Louis ",1883,M
The Happy Prince and Other Tales,"Wilde, Oscar",1888,M
The Jungle Book,"Kipling, Rudyard",1894,M
The Little Lame Prince and his Traveling Cloack,"Craik, Dinah Maria Mulock",1875,F
The Adventures of a Brownie,"Craik, Dinah Maria Mulock",1872,F
Jan of the Windmill,"Ewing, Juliana Horatia",1876,F
"Jackanapes, Daddy Darwin's Dovecot and Other Stories","Ewing, Juliana Horatia",1879,F
The Brownies and Other Tales,"Ewing, Juliana Horatia",1870,F
Brothers of Pity and Other Tales of Beasts and Men,"Ewing, Juliana Horatia",1882,F
Melchior's Dream and Other Tales,"Ewing, Juliana Horatia",1862,F
A Great Emergency and Other Tales,"Ewing, Juliana Horatia",1877,F
Six to Sixteen: A Story for Girls,"Ewing, Juliana Horatia",1876,F
"A Flat Iron for a Farthing; or, Some Passages in the Life of an only Son","Ewing, Juliana Horatia",1873,F
The Land of Lost Toys,"Ewing, Juliana Horatia",1869,F
Snap-Dragons; Old Father Christmas,"Ewing, Juliana Horatia",1888,F
"St. Winifred's; or, The World of School","Farrar, Frederick William",1862,M
Jack Harkaway and His Son's Escape from the Brigands of Greece,"Hemyng, Bracebridge",190?,M
Jack Harkaway's Boy Tinker Among The Turks: Book Number Fifteen in the Jack Harkaway Series,"Hemyng, Bracebridge",1870,M
"Jack Harkaway in New York; or, The Adventures of the Travelers' Club","Hemyng, Bracebridge",1879,M
"The Slave of the Mine; or, Jack Harkaway in 'Frisco","Hemyng, Bracebridge",1879,M
Bevis: The Story of a Boy,"Jefferies, Richard",1882,M
The Water-Babies,"Kingsley, Charles",1863,M
Rewards and Fairies,"Kipling, Rudyard",1899,M
The Princess and the Goblin,"MacDonald, George",1872,M
A Double Story,"MacDonald, George",1875,M
A Rough Shaking,"MacDonald, George",1888,M
Ranald Bannerman's Boyhood,"MacDonald, George",1871,M
Gutta-Percha Willie: The Working Genius,"MacDonald, George",1873,M
The Children of the New Forest,"Marryat, Frederick",1847,M
The Little Savage,"Marryat, Frederick",1848,M
The King of the Golden River,"Ruskin, John",1851,M
Holiday House: a Series of Tales,"Sinclair, Catherine",1839,F
Four Winds Farm,"Molesworth, Mary Louisa",1887,F
The Cricket on the Hearth : a Fairy Tale of Home,"Dickens, Charles",1845,M
"Masterman Ready, or, The Wreck of the Pacific","Marryat, Frederick",1841,M
The Settlers at Home,"Martineau, Harriet",1841,F
The Coral Island: a Tale of the Pacific Ocean,"Ballantyne, Robert Michael",1857,M
"Nat the Naturalist, or, A Boy's Adventures in the Eastern Seas","Fenn, George Manville",1883,M
The three admirals,"Kingston, William Henry Giles",1878,M
,,,
,,,
,,,
,,,
Fairy know-a-bit,A.L.O.E. is Mrs. Charlotte Maria Tucker,,
"The rose and the ring, or, The history of Prince Giglio and Prince Bulbo : a fire-side pantomime for great and small children",W.M. Thackeray,,
